"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00FQJ9","Antão Vaz","wine","B","seed","none","H",-2,9,3,4,12,NA,NA,0,NA,NA,NA
"B00EQVS","Aouillat","wine","B","seed","none","F",5,4,3,3.2,15,224,2.2,0,5.5,5.7,11.6
"B00ER94","Aragatzi","table","Rs","seed","none","F",0,NA,2.8,4.3,12,NA,NA,0.2,NA,NA,NA
"B001756","Araklinos","wine","N","seed","none","H",2,NA,3,3.5,20,166,2.1,0,5.2,3.1,9.3
"B00EQZX","Arakseni tcherni","table","N","seed","none","H",-3,3,-0.5,-0.5,2,199,2.6,0,NA,NA,NA
"B00EQVD","Arbane","wine","B","seed","none","H",1,NA,2.8,3,18,79,1.4,0.2,4.6,5,11.9
"B00F6P8","Argant","wine","N","seed","none","H",2,2,1.7,2.5,5,182,1.9,0.8,6.5,4.9,12.2
"B00EQVL","Arinarnoa","wine","N","seed","none","H",14,5,3,4.3,23,303,2.2,0,8,5,11.9
"B00FQJA","Arinto = Pedernã","wine","B","seed","none","H",9,NA,3.5,5.3,8,533,1.7,1.3,6.5,5.5,10.8
"B00ER4K","Arinto do Dão","wine","B","seed","none","H",2,2,1,2.2,12,218,2.1,0.7,4.7,5,9.4
"B00EQUK","Arinto tinto (Collection Soares Franco)","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERBW","Arna-guirna","wine","B","seed","none","F",9,9,3,4.3,4,283,4.9,0,NA,NA,NA
"B00ER36","Arneis","wine","B","seed","none","H",-1,-2,2.3,2.2,12,296,2.1,0,4.2,4,13.3
"B00EQXI","Aromriesling","wine","B","seed","other","H",3,-1,2.3,2,22,141,1.5,0.3,5.4,6,11.4
"B00ER3Q","Arrouya","wine","N","seed","none","H",8,-1,2.5,4.8,12,245,1.6,0.5,9.5,5,9.6
"B00EQV8","Arvine","wine","B","seed","none","H",0,NA,3,3.5,25,145,0.9,0.6,6.2,6.2,11.6
"B00F6OV","Askéri","table","B","seedless","none","H",0,7,1.8,3.6,19,474,2.3,1.2,NA,NA,NA
"B00F6O5","Asma","table","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER53","Asprinio bianco","wine-table","B","seed","none","F",4,6,3.5,4.3,12,114,2,0,8.5,6.2,10.8
"B00ERAA","Asprouda Santorinis","wine","B","seed","none","H",-2,NA,NA,2,16,260,2.2,0,6.6,6,11.8
"B00ERC2","Assali al arous","table","B","seed","none","H",-2,NA,5,6,10,451,3.6,0,NA,NA,NA
"B00ERA4","Assouad karech","wine","N","seed","none","H",10,NA,4,6.7,2,531,3.3,0.3,4.5,4.2,10.3
"B00ERAB","Assouad Koupti","wine","N","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQZI","Assoued kere","table","B","seed","none","H",10,NA,3,3.7,3,292,3.4,0,NA,NA,NA
"B00F6QH","Assuretuli Sitavi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER0B","Asswad Abou Khislé","table","N","seed","none","F",8,8,3,5.3,NA,NA,NA,0.3,NA,NA,NA
"B00EQZY","Assyl kara","wine","N","seed","none","H",0,NA,2.3,2.7,2,248,3,0.3,NA,NA,NA
"B00ERM4","Assyrtico","wine","B","seed","none","H",4,5,3.2,5,4,281,2.8,0,NA,NA,NA
"B00ER11","Athiri lefko (Kotinis)","wine-table","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERCP","Attiki","table","N","seedless","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EI4N","Avarengo","wine-table","N","seed","none","H",1,NA,NA,5,1,NA,NA,0.5,NA,NA,NA
"B00ERA3","Avassirkhva","wine","B","seed","none","H",4,NA,3.5,4.5,11,176,2.2,0,NA,NA,NA
"B00FQJB","Avesso","wine","B","seed","none","H",3,2.3,2,4.6,16,261,2.1,0.3,8.6,7,11
"B00EQSS","Avgoustiatis","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQZP","Azizi el Jaïa","table","B","seed","none","H",3,NA,2.7,3.7,12,236,3.4,0,NA,NA,NA
"B00EQYU","B 40-97 (Ramming)","table","B","seedless","muscat","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQX2","Babica crna","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQVK","Bacchus","wine","B","seed","none","H",-8,-9,-1,-1,0,NA,NA,0,NA,NA,NA
"B00ER38","Badagui noir","wine","N","seed","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6OJ","Baga","wine","N","seed","none","H",9,-1,2,3.6,13,270,1.5,0.6,7,5.7,9.1
"B00ER8N","Bajor kék","wine","N","seed","none","F",-3,3,2.4,2.3,9,149,3.9,0.4,5.9,5.2,10.2
"B00ERQG","Bakator piros","wine-table","Rg","seed","none","F",5,NA,2.5,4.3,14,157,2,0.5,4.9,5,8.8
"B00ER8Q","Bakhtiori","wine","B","seed","none","H",2,NA,0.5,1.7,5,558,3.7,0.7,5.7,6.6,8.8
"B00EQTH","Balbut bijeli","table","B","seed","none","H",16,NA,2,4.3,20,377,3,0,NA,NA,NA
"B00ER8Z","Balouti (Abbaye de Latroun)","table",NA,NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQVP","Balsamina (Collection Oberlin)","wine","B","seed","none","H",3,-2,0,-0.3,11,NA,NA,0,NA,NA,NA
"B00ER7R","Baratcsuha szürke","wine","G","seed","none","H",-2,-2,2.7,4,12,446,2.4,0.3,4.4,5.2,11.4
"B00EQZC","Baresana = Korithi aspro","table","B","seed","none","H",7,NA,2,5.3,3,300,4.9,1.7,NA,NA,NA
"B00ER0N","Barlinka faux (Almeria)","table","N",NA,NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EI4R","Baroque","wine","B","seed","none","H",6,1,2.8,3.9,13,241,2.2,0.5,5.7,6.5,10.2
"B00EQVN","Baserri","wine","B","seed","none","H",6,4,2,1.8,15,354,1.8,0,5.5,5.8,12.5
"B00ERCI","Basicata","wine","B","seed","none","H",5,NA,2,3.4,13,175,2.7,0.5,5.7,4.6,6.6
"B00ER3Y","Basilikumtraube","wine-table","B","seed","other","H",-3,NA,0.7,1.3,21,157,2.1,1,4,4,9.2
"B00FQFD","Bastardo blanco",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERAJ","Bastardo espanhol","wine-table","N","seed","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER97","Bastardo Magaratchskii","wine","N","seed","none","H",2,0,1,1.7,16,209,1.9,0,6.8,5.1,11.6
"B00FQHN","Batista","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERPX","Battraube","wine","N","seed","none","H",9,3,2,2,18,608,NA,0.6,5.8,4.4,9.4
"B00FQGP","Bayad (non-identified)",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6QC","Bayadi de Syrie","table","B","seed","none","H",9,NA,4,5,NA,NA,NA,NA,NA,NA,NA
"B00ERAC","Bayan Shirei","wine","B","seed","none","H",-3,NA,2.6,4.2,16,404,3.7,0.7,5,5.2,9.9
"B00F6P9","Béclan","wine","N","seed","none","H",1,-2,2,2.2,23,133,1.7,0,5.6,3.3,7.3
"B00ERPC","Beerheller",NA,"B","seed",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00EQXQ","Belle Denise","wine","N","seed","none","H",7,2,0,0,NA,NA,NA,NA,NA,NA,NA
"B00EQT0","Bellone","wine","B","seed","none","H",0,NA,3,3.7,5,566,2.7,1.7,4.9,6.2,12.3
"B00FQJ6","Benedicto",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQHP","Benedicto falso",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6OM","Beregi rozsas","wine","Rs","seed","none","H",3,NA,2.3,3.6,18,205,1.9,0.5,4.4,4.8,11.2
"B00FQHA","Bermejuela",NA,"B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER6I","Bermestia bianca","table","B","seed","none","F",7,4,2.7,6,6,374,4.2,0,NA,NA,NA
"B00ERBS","Bezoul el Aouda","table","N-Rg","seed","none","H",8,NA,NA,5,0,311,6.3,0.2,NA,NA,NA
"B00EI5B","Bezoul el Kelba","table","B","seed","none","H",2,4,3.4,5.4,8,179,3.8,0.3,NA,NA,NA
"B00EQTI","Bianco d'Alessano","wine","B","seed","none","H",5,NA,3.3,4.7,15,352,2.1,0.3,5.7,5,10.4
"B00F6PN","Bicane","table","B","seed","none","F",4,3,2.5,2.7,7,292,6.4,0.5,5.2,NA,7
"B00ER1O","Big Muscat Seedless","table","B","seedless","other","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER6K","Big Perlon","table","N","seedless","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6OP","Black monukka","table","N","seedless","none","H",2,6,0.5,1.6,3,423,2.7,0.1,NA,NA,NA
"B00F6PP","Black Morocco","table","N","seed","none","F",1,6,2.1,4.1,5,200,5.2,0.9,NA,NA,NA
"B00F6PH","Blanc Auba","wine","B","seed","none","H",8,1,2.7,4,22,280,2.5,0,4.4,5.8,9.7
"B00F6OT","Blanc de Rhafsaï","table","B","seed","none","H",3,NA,2.3,5,3,980,5.7,0.5,NA,NA,NA
"B00EQT5","Blank blauer","wine","N-Rg","seed","none","H",2,NA,3,3.3,3,302,2.9,0.5,4.7,3.7,9.9
